permno,namebegdt,nameenddt,ticker,comnam,exchcd,shrcd
10866,2014-01-07,2015-05-28,BWS,BROWN SHOE CO INC NEW,1,11
10866,2015-05-29,2024-12-31,CAL,CALERES INC,1,11
10874,1978-04-03,2017-04-09,BC,BRUNSWICK CORP,1,11
10874,2017-04-10,2019-06-25,BC,BRUNSWICK CORP,1,11
10874,2019-06-26,2024-12-31,BC,BRUNSWICK CORP,1,11
10886,2001-03-01,2024-10-02,DXYN,DIXIE GROUP INC,3,11
10890,2014-01-10,2024-12-31,UIS,UNISYS CORP,1,11
10892,1999-07-01,2024-12-31,WSFS,WSFS FINANCIAL CORP,3,11
10901,1987-07-07,2024-12-31,ITIC,INVESTORS TITLE CO,3,11
10909,2000-08-01,2022-06-07,CERN,CERNER CORP,3,11
10913,1999-07-01,2018-08-20,FFKT,FARMERS CAPITAL BANK CORP,3,11
10932,2008-12-16,2024-12-31,WBS,WEBSTER FINANCIAL CORP,1,11
10933,1997-06-11,2023-05-25,MKL,MARKEL CORP,1,11
10933,2023-05-26,2024-12-31,MKL,MARKEL GROUP INC,1,11
10952,2011-11-10,2020-11-26,CDR,CEDAR REALTY TRUST INC,1,18
10952,2020-11-27,2022-08-22,CDR,CEDAR REALTY TRUST INC,1,18
10966,2013-08-09,2024-12-31,AXGN,AXOGEN INC,3,11
11003,2012-07-24,2015-02-02,ACMP,ACCESS MIDSTREAM PARTNERS L P,1,71
11003,2015-02-03,2018-08-10,WPZ,WILLIAMS PARTNERS LP NEW,1,71
11006,1999-07-01,2024-12-31,FLIC,FIRST LONG ISLAND CORP,3,11
11018,2011-01-07,2024-12-31,FBP,FIRST BANCORP P R,1,11
11043,2008-09-23,2024-12-03,PMD,PSYCHEMEDICS CORP,3,11
11043,2024-12-04,2024-12-12,PMD,PSYCHEMEDICS CORP,3,11
11077,1999-03-15,2015-08-20,ASMI,A S M INTERNATIONAL N V,3,12
11131,1999-07-01,2015-12-31,ASBI,AMERIANA BANCORP,3,11
11144,2006-06-30,2019-09-08,AVD,AMERICAN VANGUARD CORP,1,11
11144,2019-09-09,2024-12-31,AVD,AMERICAN VANGUARD CORP,1,11
11153,1992-04-06,2021-08-26,,SONO TEK CORP,0,11
11153,2021-08-27,2024-12-31,SOTK,SONO TEK CORP,3,11
11154,1990-04-19,2024-12-31,PLAB,PHOTRONICS INC,3,11
11174,2002-04-01,2024-12-31,CRMT,AMERICAS CAR MART INC,3,11
11182,2011-05-24,2015-05-19,GASL,DIREXION SHARES E T F TRUST,4,73
11182,2015-05-20,2015-09-30,GASL,DIREXION SHARES E T F TRUST,4,73
11182,2015-10-01,2016-03-23,GASL,DIREXION SHARES E T F TRUST,4,73
11182,2016-03-24,2019-06-27,GASL,DIREXION SHARES E T F TRUST,4,73
11182,2019-06-28,2020-03-23,GASL,DIREXION SHARES E T F TRUST,4,73
11182,2020-03-24,2020-03-27,GASL,DIREXION SHARES E T F TRUST,4,73
11203,2007-08-07,2018-05-06,AGII,ARGO GROUP INTL HLDGS LTD,3,12
11203,2018-05-07,2020-07-09,ARGO,ARGO GROUP INTL HLDGS LTD,1,12
11203,2020-07-10,2023-11-15,ARGO,ARGO GROUP INTL HLDGS LTD,1,12
11208,2013-04-26,2024-12-31,OFG,O F G BANCORP,1,11
11246,2004-04-01,2017-11-10,CFNB,CALIFORNIA FIRST NATIONAL BANCOR,3,11
11264,2010-07-14,2020-04-22,RETL,DIREXION SHARES E T F TRUST,4,73
11264,2020-04-23,2024-12-31,RETL,DIREXION SHARES E T F TRUST,4,73
11267,2009-10-16,2024-12-31,CATO,CATO CORP NEW,1,11
11275,1990-06-05,2019-10-16,,REPRO MED SYSTEMS INC,0,11
11275,2019-10-17,2019-10-23,REPR,REPRO MED SYSTEMS INC,3,11
11275,2019-10-24,2022-07-04,KRMD,REPRO MED SYSTEMS INC,3,11
11275,2022-07-05,2024-12-31,KRMD,KORU MEDICAL SYSTEMS INC,3,11
11285,1999-07-01,2024-12-31,FBNC,FIRST BANCORP NC,3,11
11292,1990-07-24,2024-12-31,ICCC,IMMUCELL CORP,3,11
11293,1999-07-01,2024-12-31,WSBC,WESBANCO INC,3,11
11308,2001-02-01,2024-06-30,KO,COCA COLA CO,1,11
11308,2024-07-01,2024-12-31,KO,COCA COLA CO,1,11
11343,2000-08-01,2022-07-21,SAFM,SANDERSON FARMS INC,3,11
11348,1999-07-01,2021-11-12,CNBKA,CENTURY BANCORP INC,3,11
11361,2010-07-01,2020-07-30,ECT,E C A MARCELLUS TRUST I,1,71
11363,2010-07-07,2016-10-18,SCIN,E G A EMERGING GLOBAL SHARES TR,4,73
11363,2016-10-19,2019-06-14,SCIN,COLUMBIA E T F TRUST II,4,73
11368,1999-09-30,2024-12-31,AIRT,AIR T INC,3,11
11369,1999-07-01,2024-12-31,UBSI,UNITED BANKSHARES INC,3,11
11370,2010-07-29,2016-08-21,ENV,ENVESTNET INC,1,11
11370,2016-08-22,2017-04-20,ENV,ENVESTNET INC,1,11
11370,2017-04-21,2021-03-28,ENV,ENVESTNET INC,1,11
11370,2021-03-29,2024-11-22,ENV,ENVESTNET INC,1,11
11378,2006-06-30,2018-03-08,CCC,CALGON CARBON CORP,1,11
11379,2013-02-25,2020-12-21,DXLG,DESTINATION X L GROUP INC,3,11
11379,2020-12-22,2021-09-07,,DESTINATION X L GROUP INC,0,11
11379,2021-09-08,2024-12-31,DXLG,DESTINATION X L GROUP INC,3,11
11394,2014-02-20,2016-03-06,KOOL,CESCA THERAPEUTICS INC,3,11
11394,2016-03-07,2019-06-04,KOOL,CESCA THERAPEUTICS INC,3,11
11394,2019-06-05,2019-10-31,KOOL,CESCA THERAPEUTICS INC,3,11
11394,2019-11-01,2022-12-21,THMO,THERMOGENESIS HOLDINGS INC,3,11
11394,2022-12-22,2024-06-14,THMO,THERMOGENESIS HOLDINGS INC,3,11
11397,1999-07-01,2024-12-31,WASH,WASHINGTON TRUST BANCORP INC,3,11
11403,2005-10-31,2024-12-31,CDNS,CADENCE DESIGN SYSTEMS INC,3,11
11404,1998-01-02,2016-12-18,ED,CONSOLIDATED EDISON INC,1,11
11404,2016-12-19,2021-03-28,ED,CONSOLIDATED EDISON INC,1,11
11404,2021-03-29,2024-12-31,ED,CONSOLIDATED EDISON INC,1,11
11407,2010-07-23,2015-11-17,LIT,GLOBAL X FUNDS,4,73
11407,2015-11-18,2024-12-31,LIT,GLOBAL X FUNDS,4,73
11441,2006-03-20,2015-02-18,,NATIONAL HOLDINGS CORP,0,11
11441,2015-02-19,2015-03-02,,NATIONAL HOLDINGS CORP,0,11
11441,2015-03-03,2021-02-25,NHLD,NATIONAL HOLDINGS CORP,3,11
11442,1999-07-01,2024-12-31,CHCO,CITY HOLDING CO,3,11
11481,2004-01-22,2023-12-27,EBIX,EBIX INC,3,11
11499,2002-07-01,2022-11-06,CECE,C E C O ENVIRONMENTAL CORP,3,11
11499,2022-11-07,2024-12-31,CECO,C E C O ENVIRONMENTAL CORP,3,11
11505,2010-07-29,2015-10-08,BRAF,GLOBAL X FUNDS,4,73
11511,2007-03-23,2015-01-14,,C P S TECHNOLOGIES CORP,0,11
11511,2015-01-15,2024-12-31,CPSH,C P S TECHNOLOGIES CORP,3,11
11533,2009-08-18,2018-05-02,FICO,FAIR ISAAC CORP,1,11
11533,2018-05-03,2021-03-30,FICO,FAIR ISAAC CORP,1,11
11533,2021-03-31,2024-12-31,FICO,FAIR ISAAC CORP,1,11
11547,1987-07-23,2020-02-09,CNMD,CONMED CORP,3,11
11547,2020-02-10,2021-03-28,CNMD,CONMED CORP,1,11
11547,2021-03-29,2024-12-31,CNMD,CONMED CORP,1,11
11552,1989-09-01,2019-11-20,CELG,CELGENE CORP,3,11
11565,2001-12-20,2018-05-07,HBNC,HORIZON BANCORP IND,3,11
11565,2018-05-08,2024-12-31,HBNC,HORIZON BANCORP INC,3,11
11581,2006-06-30,2017-01-10,ATU,ACTUANT CORP,1,11
11581,2017-01-11,2019-10-06,ATU,ACTUANT CORP,1,11
11581,2019-10-07,2020-01-28,EPAC,ACTUANT CORP,1,11
11581,2020-01-29,2024-06-19,EPAC,ENERPAC TOOL GROUP CORP,1,11
11581,2024-06-20,2024-12-31,EPAC,ENERPAC TOOL GROUP CORP,1,11
11587,1996-05-07,2024-08-20,ATRI,ATRION CORP,3,11
11593,2005-06-08,2024-12-31,SNFCA,SECURITY NATIONAL FINANCIAL CORP,3,11
11600,1993-06-14,2016-02-29,XRAY,DENTSPLY INTERNATIONAL INC NEW,3,11
11600,2016-03-01,2024-12-31,XRAY,DENTSPLY SIRONA INC,3,11
11618,1999-07-01,2024-12-31,FAST,FASTENAL CO,3,11
11628,2011-02-03,2021-03-28,CPF,CENTRAL PACIFIC FINANCIAL CORP,1,11
11628,2021-03-29,2023-08-07,CPF,CENTRAL PACIFIC FINANCIAL CORP,1,11
11628,2023-08-08,2024-12-31,CPF,CENTRAL PACIFIC FINANCIAL CORP,1,11
11636,2014-01-23,2024-12-31,HRTX,HERON THERAPEUTICS INC,3,11
11638,1987-08-27,2019-07-01,LABL,MULTI COLOR CORP,3,11
11641,1999-07-01,2017-04-20,AIRM,AIR METHODS CORP,3,11
11644,1996-12-17,2016-07-31,CRK,COMSTOCK RESOURCES INC,1,11
11644,2016-08-01,2016-12-18,CRK,COMSTOCK RESOURCES INC,1,11
11644,2016-12-19,2020-11-17,CRK,COMSTOCK RESOURCES INC,1,11
11644,2020-11-18,2024-12-31,CRK,COMSTOCK RESOURCES INC,1,11
11648,2010-07-08,2017-10-06,BRAQ,GLOBAL X FUNDS,4,73
11654,2007-02-02,2024-12-31,NAII,NATURAL ALTERNATIVES INTL INC,3,11
11664,2010-07-22,2019-09-08,GDOT,GREEN DOT CORP,1,11
11664,2019-09-09,2021-04-05,GDOT,GREEN DOT CORP,1,11
11664,2021-04-06,2024-12-31,GDOT,GREEN DOT CORP,1,11
11674,1996-01-02,2024-12-31,DTE,D T E ENERGY CO,1,11
11691,2012-07-02,2017-12-25,MATX,MATSON INC,1,11
11691,2017-12-26,2024-12-31,MATX,MATSON INC,1,11
11701,1987-09-22,2024-12-31,IMKTA,INGLES MARKETS INC,3,11
11703,2014-01-29,2017-08-31,DD,DU PONT E I DE NEMOURS & CO,1,11
11707,2011-06-10,2019-12-03,CBM,CAMBREX CORP,1,11
11731,1988-09-30,2024-12-31,AIN,ALBANY INTERNATIONAL CORP NEW,1,11
11748,2001-04-20,2024-12-31,DGICB,DONEGAL GROUP INC,3,11
11750,1999-07-01,2017-12-14,RBPAA,ROYAL BANCSHARES PA INC,3,11
11752,1989-11-01,2022-09-07,IIVI,II VI INC,3,11
11752,2022-09-08,2023-02-22,COHR,COHERENT CORP,3,11
11752,2023-02-23,2024-12-31,COHR,COHERENT CORP,1,11
11762,2012-12-03,2016-06-22,ETN,EATON CORP PLC,1,12
11762,2016-06-23,2020-02-17,ETN,EATON CORP PLC,1,12
11762,2020-02-18,2021-03-28,ETN,EATON CORP PLC,1,12
11762,2021-03-29,2022-06-07,ETN,EATON CORP PLC,1,12
11762,2022-06-08,2024-12-31,ETN,EATON CORP PLC,1,12
11775,2000-03-01,2024-12-31,JOUT,JOHNSON OUTDOORS INC,3,11
11781,2008-04-21,2015-10-09,TIGR,TIGERLOGIC CORP,3,11
11786,2005-05-31,2023-03-10,SIVB,S V B FINANCIAL GROUP,3,11
11790,1974-01-14,2024-12-31,ALCO,ALICO INC,3,11
11803,2011-07-14,2024-12-31,MITK,MITEK SYSTEMS INC,3,11
11809,2008-12-15,2024-12-31,CLH,CLEAN HARBORS INC,1,11
11825,1994-06-01,2022-11-03,CYBE,CYBEROPTICS CORP,3,11
11844,1999-07-01,2024-12-31,CTBI,COMMUNITY TRUST BANCORP INC,3,11
11845,2013-01-02,2017-11-27,WPPGY,W P P PLC NEW,3,31
11845,2017-11-28,2024-12-31,WPP,W P P PLC NEW,1,31
11850,1999-12-01,2016-12-18,XOM,EXXON MOBIL CORP,1,11
11850,2016-12-19,2019-09-10,XOM,EXXON MOBIL CORP,1,11
11850,2019-09-11,2024-06-30,XOM,EXXON MOBIL CORP,1,11
11850,2024-07-01,2024-12-31,XOM,EXXON MOBIL CORP,1,11
11884,1999-07-14,2024-10-16,IPAR,INTERMEDIATE PARFUMS INC,3,11
11884,2024-10-17,2024-12-31,IPAR,INTERPARFUMS INC,3,11
11891,2010-06-18,2016-12-18,MGM,M G M RESORTS INTERNATIONAL,1,11
11891,2016-12-19,2021-03-30,MGM,M G M RESORTS INTERNATIONAL,1,11
11891,2021-03-31,2024-12-31,MGM,M G M RESORTS INTERNATIONAL,1,11
11896,2008-10-08,2021-08-25,MXIM,MAXIM INTEGRATED PRODUCTS INC,3,11
11955,2009-08-05,2024-12-31,WM,WASTE MANAGEMENT INC DEL,1,11
11990,2010-07-15,2018-07-01,KKR,K K R & CO LP,1,71
11990,2018-07-02,2020-05-17,KKR,K K R & CO INC,1,11
11990,2020-05-18,2021-03-23,KKR,K K R & CO INC,1,11
11990,2021-03-24,2024-06-20,KKR,K K R & CO INC,1,11
11990,2024-06-21,2024-12-31,KKR,K K R & CO INC,1,11
11992,1999-07-01,2019-07-31,CHFC,CHEMICAL FINANCIAL CORP,3,11
11992,2019-08-01,2021-06-08,TCF,T C F FINANCIAL CORP NEW,3,11
11995,1982-11-01,2019-01-01,COKE,COCA COLA BOTTLING CO CONS,3,11
11995,2019-01-02,2024-12-31,COKE,COCA COLA CONSOLIDATED INC,3,11
11996,2010-07-23,2016-05-01,EMLC,MARKET VECTORS E T F TRUST,4,73
11996,2016-05-02,2018-10-25,EMLC,VANECK VECTORS E T F TRUST,4,73
11996,2018-10-26,2021-08-31,EMLC,VANECK VECTORS E T F TRUST,4,73
11996,2021-09-01,2024-12-31,EMLC,VANECK E T F TRUST,4,73
11999,2010-07-29,2015-06-24,MCP,MOLYCORP INC DE,1,11
12007,2010-07-14,2015-01-01,OXF,OXFORD RESOURCE PARTNERS L P,1,71
12007,2015-01-02,2018-10-08,WMLP,WESTMORELAND RESOURCE PTNRS LP,1,71
12008,2006-06-30,2017-05-24,DY,DYCOM INDUSTRIES INC,1,11
12008,2017-05-25,2019-05-05,DY,DYCOM INDUSTRIES INC,1,11
12008,2019-05-06,2024-12-31,DY,DYCOM INDUSTRIES INC,1,11
12009,2010-07-06,2024-12-31,QUAD,QUAD GRAPHICS INC,1,11
12011,2010-07-16,2016-03-22,RLD,REALD INC,1,11
12015,2010-07-28,2017-12-25,NTG,TORTOISE M L P FUND INC,1,14
12015,2017-12-26,2019-01-07,NTG,TORTOISE M L P FUND INC,1,14
12015,2019-01-08,2020-02-26,NTG,TORTOISE MIDSTREAM ENERGY FD INC,1,14
12015,2020-02-27,2020-04-30,NTG,TORTOISE MIDSTREAM ENERGY FD INC,1,14
12015,2020-05-01,2024-06-19,NTG,TORTOISE MIDSTREAM ENERGY FD INC,1,14
12015,2024-06-20,2024-12-20,NTG,TORTOISE MIDSTREAM ENERGY FD INC,1,14
12017,2013-04-30,2015-11-29,VRNG,VRINGO INC,3,11
12017,2015-11-30,2016-05-08,VRNG,VRINGO INC,3,11
12017,2016-05-09,2018-01-07,FH,FORM HOLDINGS CORP,3,11
12017,2018-01-08,2019-02-24,XSPA,XPRESSPA GROUP INC,3,11
12017,2019-02-25,2020-06-10,XSPA,XPRESSPA GROUP INC,3,11
12017,2020-06-11,2022-10-24,XSPA,XPRESSPA GROUP INC,3,11
12017,2022-10-25,2023-09-27,XWEL,XWELL INC,3,11
12017,2023-09-28,2024-12-31,XWEL,XWELL INC,3,11
12018,2013-10-02,2017-04-26,IKGH,IAO KUN GROUP HOLDING CO LTD,3,12
12018,2017-04-27,2017-08-28,LINU,LINIU TECHNOLOGY GROUP,3,12
12018,2017-08-29,2018-05-11,LINU,LINIU TECHNOLOGY GROUP,3,12
12023,2014-07-29,2016-09-08,ABAC,AOXIN TIANLI GROUP INC,3,12
12023,2016-09-09,2017-11-12,ABAC,AOXIN TIANLI GROUP INC,3,12
12023,2017-11-13,2019-01-16,ABAC,RENMIN TIANLI GROUP INC,3,12
12023,2019-01-17,2019-04-11,BIQI,RENMIN TIANLI GROUP INC,3,12
12023,2019-04-12,2019-07-09,BIQI,B I Q I INTERNATIONAL HLDNGS COR,3,12
12025,2010-07-07,2015-02-20,PEOP,PEOPLES FEDERAL BANCSHARES INC,3,11
12026,2010-07-16,2016-08-22,QLIK,QLIK TECHNOLOGIES INC,3,11
12027,2010-07-15,2016-05-11,SMT,SMART TECHNOLOGIES INC,3,12
12027,2016-05-12,2016-09-14,SMT,SMART TECHNOLOGIES INC,3,12
12030,2010-07-08,2016-01-13,THTI,T H T HEAT TRANSFER TECHNOL INC,3,11
12034,2013-07-25,2020-05-03,PHYS,SPROTT PHYSICAL GOLD TRUST,4,75
12034,2020-05-04,2021-07-05,PHYS,SPROTT PHYSICAL GOLD TRUST,4,75
12034,2021-07-06,2024-12-31,PHYS,SPROTT PHYSICAL GOLD TRUST,4,75
12035,2010-08-25,2020-05-17,AMLP,ALPS E T F TRUST,4,73
12035,2020-05-18,2024-12-31,AMLP,ALPS E T F TRUST,4,73
12036,2014-01-23,2016-06-30,GMT,G A T X CORP,1,11
12036,2016-07-01,2017-03-27,GATX,G A T X CORP,1,11
12036,2017-03-28,2021-03-31,GATX,G A T X CORP,1,11
12036,2021-04-01,2023-10-22,GATX,G A T X CORP,1,11
12036,2023-10-23,2024-12-31,GATX,G A T X CORP,1,11
12039,2010-08-27,2015-08-24,BBN,BLACKROCK BUILD AMERICA BOND TR,1,44
12039,2015-08-25,2017-12-25,BBN,BLACKROCK TAXABLE MUNI BOND TR,1,44
12039,2017-12-26,2024-12-31,BBN,BLACKROCK TAXABLE MUNI BOND TR,1,44
12047,2010-08-11,2016-10-18,INXX,E G A EMERGING GLOBAL SHARES TR,4,73
12047,2016-10-19,2019-06-14,INXX,COLUMBIA E T F TRUST II,4,73
12049,2010-08-30,2024-12-31,GORO,GOLD RESOURCE CORP,2,11
